month,revenue,cogs,operating_expense,ar,ap,inventory,loan_emi
2024-01-01,1250000,750000,320000,180000,95000,120000,45000
2024-02-01,1180000,710000,310000,195000,88000,115000,45000
2024-03-01,1320000,790000,330000,210000,102000,128000,45000
2024-04-01,1280000,765000,325000,205000,98000,122000,45000
2024-05-01,1410000,840000,345000,220000,108000,135000,45000
2024-06-01,1380000,825000,340000,215000,105000,132000,45000
2024-07-01,1450000,865000,350000,230000,112000,140000,45000
2024-08-01,1420000,850000,348000,225000,110000,138000,45000
2024-09-01,1480000,880000,355000,235000,115000,142000,45000
2024-10-01,1520000,905000,360000,245000,118000,148000,45000
2024-11-01,1550000,920000,365000,250000,120000,152000,45000
2024-12-01,1580000,940000,370000,255000,122000,155000,45000
